20201019133124,10.20.30.1/16,522
20201019133125,10.20.30.2/16,1
20201019133134,192.168.1.1/24,10
20201019133135,192.168.1.2/24,12
20201019133136,192.168.1.3/24,14
20201019133224,10.20.30.1/16,-
20201019133225,10.20.30.2/16,-
20201019133234,192.168.1.1/24,193
20201019133235,192.168.1.2/24,420
20201019133236,192.168.1.3/24,31
20201019133324,10.20.30.1/16,-
20201019133325,10.20.30.2/16,483
20201019133334,192.168.1.1/24,-
20201019133335,192.168.1.2/24,352
20201019133336,192.168.1.3/24,330
20201019133424,10.20.30.1/16,-
20201019133425,10.20.30.2/16,318
20201019133434,192.168.1.1/24,-
20201019133435,192.168.1.2/24,280
20201019133436,192.168.1.3/24,311
20201019133524,10.20.30.1/16,130
20201019133525,10.20.30.2/16,-
20201019133534,192.168.1.1/24,-
20201019133535,192.168.1.2/24,121
20201019133536,192.168.1.3/24,283
